,Mean Acc,Std Acc
skew_mfcc4,0.6630952380952381,0.02277515055917734
75thpercentile_mfcc9,0.6619047619047619,0.014773421007131969
kurtosis_mfcc10,0.6642857142857143,0.01282182096936787
max_mfcc7,0.6666666666666666,0.013573516965465918
skew_mfcc5,0.6654761904761904,0.012140522651411398
kurtosis_mfcc19,0.6714285714285714,0.014285714285714285
kurtosis_mfcc13,0.6654761904761906,0.00952380952380954
median_mfcc18,0.6738095238095237,0.013256581816261952
max_mfcc8,0.6821428571428572,0.01104002201844727
median_mel_spect,0.6821428571428572,0.01104002201844727
75thpercentile_mel_spect,0.6821428571428572,0.01104002201844727
std_chroma_stft,0.6809523809523809,0.010378330817953993
mean_tonnetz,0.6797619047619048,0.012710807442894417
75thpercentile_tonnetz,0.675,0.009671474291233285
skew_mfcc17,0.6785714285714286,0.010647942749998997
median_spec_cent,0.6773809523809524,0.006941609398625368
skew_mfcc19,0.6821428571428572,0.006070261325705675
skew_mfcc8,0.6845238095238095,0.0
75thpercentile_mfcc17,0.6952380952380951,0.0058321184351980224
kurtosis_mfcc8,0.6976190476190476,0.006941609398625368
min_zcr,0.6928571428571428,0.0029160592175990112
skew_mfcc15,0.6916666666666667,0.004454354031873724
kurtosis_mfcc14,0.6976190476190476,0.006941609398625368
kurtosis_mfcc17,0.6964285714285715,0.008417937871268424
kurtosis_mfcc18,0.6988095238095238,0.009671474291233287
median_mfcc15,0.7,0.011040022018447268
skew_mfcc6,0.7071428571428572,0.006941609398625383
kurtosis_mfcc20,0.7047619047619047,0.011040022018447278
skew_mfcc18,0.7047619047619048,0.01282182096936787
skew_mfcc10,0.7023809523809523,0.01064794274999901
75thpercentile_mfcc18,0.7047619047619047,0.008074202360863439
kurtosis_mfcc5,0.7035714285714285,0.006941609398625383
kurtosis_mfcc16,0.7059523809523809,0.008908708063747495
75thpercentile_mfcc19,0.7059523809523809,0.008074202360863439
max_spec_cont,0.7047619047619047,0.0071428571428571695
max_mfcc5,0.7035714285714285,0.008748177652797085
skew_mfcc12,0.6952380952380952,0.0058321184351980224
skew_mfcc16,0.6964285714285714,0.00652050663696624
kurtosis_mfcc12,0.6964285714285714,0.00652050663696624
max_mfcc10,0.7023809523809523,0.010647942749999011
var_mfcc12,0.7,0.009671474291233304
skew_mfcc13,0.7035714285714286,0.012710807442894422
skew_mfcc3,0.7,0.00890870806374749
mean_spec_cont,0.6964285714285714,0.013041013273932521
median_mfcc19,0.6904761904761905,0.00652050663696624
var_mfcc8,0.694047619047619,0.006070261325705675
kurtosis_mfcc15,0.6988095238095238,0.0029160592175990112
median_mfcc17,0.7,0.007142857142857169
kurtosis_mfcc11,0.6916666666666667,0.006941609398625333
75thpercentile_spec_bw,0.6857142857142856,0.007896725691322354
75thpercentile_mfcc11,0.6892857142857143,0.008748177652797033
skew_mfcc14,0.6880952380952381,0.008908708063747448
var_spec_cont,0.6857142857142857,0.013256581816261952
skew_mfcc20,0.6880952380952381,0.013363062095621207
min_spec_cont,0.6821428571428572,0.008074202360863428
var_mfcc4,0.6773809523809524,0.006941609398625333
kurtosis_mfcc9,0.6785714285714286,0.009960238411119964
std_mfcc6,0.6749999999999999,0.009671474291233302
median_mfcc16,0.6785714285714286,0.0037646162621052
var_mfcc9,0.6773809523809523,0.006941609398625368
max_mfcc9,0.6785714285714286,0.013573516965465928
max_mfcc13,0.6666666666666666,0.0037646162621052352
var_mfcc13,0.6738095238095239,0.008748177652797085
median_mfcc20,0.6702380952380952,0.006070261325705722
max_mfcc4,0.6714285714285714,0.008748177652797085
skew_mfcc7,0.6702380952380953,0.010378330817953996
kurtosis_mfcc6,0.6630952380952381,0.008908708063747495
kurtosis_mfcc7,0.6642857142857143,0.008074202360863425
skew_mfcc11,0.6642857142857143,0.00890870806374749
var_mfcc5,0.6619047619047619,0.006941609398625333
kurtosis_mfcc3,0.6607142857142858,0.01064794274999901
skew_mfcc9,0.6523809523809524,0.0029160592175990112
var_mfcc7,0.6511904761904762,0.0071428571428571175
75thpercentile_mfcc7,0.6523809523809524,0.0071428571428571175
75thpercentile_mfcc13,0.6476190476190476,0.005832118435198064
median_mfcc14,0.6619047619047619,0.01614840472172681
median_mfcc5,0.6511904761904762,0.015338212769910847
max_tonnetz,0.6416666666666666,0.012710807442894422
max_mfcc12,0.6452380952380953,0.015793451382644753
75thpercentile_mfcc20,0.6357142857142858,0.013780758217607414
var_mel_spect,0.638095238095238,0.012140522651411398
var_mfcc10,0.6202380952380953,0.006941609398625333
kurtosis_mfcc4,0.6095238095238095,0.008908708063747495
max_mfcc6,0.6011904761904763,0.01304101327393253
kurtosis_mfcc2,0.5833333333333333,0.012485819621073242
max_mfcc14,0.5797619047619048,0.01282182096936787
75thpercentile_mfcc4,0.5821428571428572,0.020756661635907978
max_mfcc11,0.5809523809523809,0.023987430570964145
75thpercentile_spec_rolloff,0.5523809523809524,0.023630277668189554
var_spec_bw,0.5261904761904762,0.013363062095621242
var_mfcc11,0.5142857142857142,0.01438457853999353
75thpercentile_mfcc2,0.5023809523809524,0.006070261325705675
median_mfcc4,0.488095238095238,0.01064794274999901
var_mfcc3,0.44761904761904764,0.018973068393463362
kurtosis_mfcc1,0.39166666666666666,0.01325658181626197
std_mfcc1,0.3833333333333333,0.017086547731437283
